Epoch [44/200], Train Loss: 0.0613, Train Accuracy: 0.9769, Val Loss: 0.1648, Val Accuracy: 0.9517, Time Taken: 438.68s
Epoch [45/200], Train Loss: 0.0626, Train Accuracy: 0.9777, Val Loss: 0.1417, Val Accuracy: 0.9643, Time Taken: 446.57s
Epoch [46/200], Train Loss: 0.0590, Train Accuracy: 0.9764, Val Loss: 0.1194, Val Accuracy: 0.9601, Time Taken: 431.48s
Epoch [47/200], Train Loss: 0.0652, Train Accuracy: 0.9808, Val Loss: 0.1607, Val Accuracy: 0.9433, Time Taken: 415.37s
Epoch [48/200], Train Loss: 0.0554, Train Accuracy: 0.9787, Val Loss: 0.1136, Val Accuracy: 0.9601, Time Taken: 414.43s
Epoch [49/200], Train Loss: 0.0583, Train Accuracy: 0.9808, Val Loss: 0.1249, Val Accuracy: 0.9664, Time Taken: 412.41s
Epoch [50/200], Train Loss: 0.0615, Train Accuracy: 0.9774, Val Loss: 0.0864, Val Accuracy: 0.9748, Time Taken: 413.29s
Epoch [51/200], Train Loss: 0.0593, Train Accuracy: 0.9771, Val Loss: 0.1173, Val Accuracy: 0.9580, Time Taken: 412.56s
Epoch [52/200], Train Loss: 0.0625, Train Accuracy: 0.9779, Val Loss: 0.1048, Val Accuracy: 0.9538, Time Taken: 416.53s
Epoch [53/200], Train Loss: 0.0461, Train Accuracy: 0.9835, Val Loss: 0.1382, Val Accuracy: 0.9580, Time Taken: 410.33s
Epoch [54/200], Train Loss: 0.0525, Train Accuracy: 0.9806, Val Loss: 0.1234, Val Accuracy: 0.9559, Time Taken: 405.84s
Epoch [55/200], Train Loss: 0.0590, Train Accuracy: 0.9777, Val Loss: 0.1077, Val Accuracy: 0.9643, Time Taken: 405.70s
Epoch [56/200], Train Loss: 0.0628, Train Accuracy: 0.9750, Val Loss: 0.1103, Val Accuracy: 0.9685, Time Taken: 405.22s
Epoch [57/200], Train Loss: 0.0464, Train Accuracy: 0.9824, Val Loss: 0.1107, Val Accuracy: 0.9601, Time Taken: 407.61s
Epoch [58/200], Train Loss: 0.0518, Train Accuracy: 0.9814, Val Loss: 0.1102, Val Accuracy: 0.9580, Time Taken: 408.34s
Epoch [59/200], Train Loss: 0.0504, Train Accuracy: 0.9808, Val Loss: 0.1428, Val Accuracy: 0.9454, Time Taken: 410.08s
