No checkpoint found, starting fresh training
Epoch [44/200], Train Loss: 0.4681, Train Accuracy: 0.7833, Val Loss: 0.4585, Val Accuracy: 0.7899, Time Taken: 414.73s
Epoch [45/200], Train Loss: 0.4717, Train Accuracy: 0.7883, Val Loss: 0.4362, Val Accuracy: 0.7983, Time Taken: 414.29s
Epoch [46/200], Train Loss: 0.4707, Train Accuracy: 0.7725, Val Loss: 0.4618, Val Accuracy: 0.8067, Time Taken: 415.25s
Epoch [47/200], Train Loss: 0.4509, Train Accuracy: 0.7914, Val Loss: 0.4784, Val Accuracy: 0.7920, Time Taken: 415.32s
Epoch [48/200], Train Loss: 0.4758, Train Accuracy: 0.7715, Val Loss: 0.4718, Val Accuracy: 0.8004, Time Taken: 415.02s
Epoch [49/200], Train Loss: 0.4807, Train Accuracy: 0.7767, Val Loss: 0.4623, Val Accuracy: 0.7941, Time Taken: 414.30s
Epoch [50/200], Train Loss: 0.4656, Train Accuracy: 0.7746, Val Loss: 0.4818, Val Accuracy: 0.7815, Time Taken: 416.29s
Epoch [51/200], Train Loss: 0.4614, Train Accuracy: 0.7878, Val Loss: 0.4740, Val Accuracy: 0.7815, Time Taken: 418.30s
Epoch [52/200], Train Loss: 0.4695, Train Accuracy: 0.7851, Val Loss: 0.4772, Val Accuracy: 0.7815, Time Taken: 414.77s
Epoch [53/200], Train Loss: 0.4662, Train Accuracy: 0.7920, Val Loss: 0.4744, Val Accuracy: 0.7815, Time Taken: 430.14s
Epoch [54/200], Train Loss: 0.4761, Train Accuracy: 0.7736, Val Loss: 0.4799, Val Accuracy: 0.7794, Time Taken: 415.13s
Epoch [55/200], Train Loss: 0.4678, Train Accuracy: 0.7749, Val Loss: 0.4944, Val Accuracy: 0.7584, Time Taken: 420.23s
Epoch [56/200], Train Loss: 0.4685, Train Accuracy: 0.7786, Val Loss: 0.4620, Val Accuracy: 0.7920, Time Taken: 425.98s
Epoch [57/200], Train Loss: 0.4764, Train Accuracy: 0.7741, Val Loss: 0.4440, Val Accuracy: 0.7899, Time Taken: 417.41s
Epoch [58/200], Train Loss: 0.4527, Train Accuracy: 0.7901, Val Loss: 0.4826, Val Accuracy: 0.7563, Time Taken: 418.05s
Epoch [59/200], Train Loss: 0.4726, Train Accuracy: 0.7744, Val Loss: 0.4752, Val Accuracy: 0.8004, Time Taken: 421.53s
Epoch [60/200], Train Loss: 0.4676, Train Accuracy: 0.7825, Val Loss: 0.4820, Val Accuracy: 0.7794, Time Taken: 420.90s
Epoch [61/200], Train Loss: 0.4681, Train Accuracy: 0.7883, Val Loss: 0.4710, Val Accuracy: 0.7983, Time Taken: 418.35s
Epoch [62/200], Train Loss: 0.4664, Train Accuracy: 0.7820, Val Loss: 0.4763, Val Accuracy: 0.7941, Time Taken: 423.88s
Epoch [63/200], Train Loss: 0.4672, Train Accuracy: 0.7822, Val Loss: 0.4716, Val Accuracy: 0.7962, Time Taken: 418.78s
Epoch [64/200], Train Loss: 0.4714, Train Accuracy: 0.7765, Val Loss: 0.4689, Val Accuracy: 0.7836, Time Taken: 416.94s
Epoch [65/200], Train Loss: 0.4599, Train Accuracy: 0.7896, Val Loss: 0.4792, Val Accuracy: 0.8004, Time Taken: 415.71s
Epoch [66/200], Train Loss: 0.4559, Train Accuracy: 0.7909, Val Loss: 0.4724, Val Accuracy: 0.7731, Time Taken: 413.05s
Epoch [67/200], Train Loss: 0.4614, Train Accuracy: 0.7830, Val Loss: 0.4545, Val Accuracy: 0.8004, Time Taken: 413.13s
Epoch [68/200], Train Loss: 0.4717, Train Accuracy: 0.7773, Val Loss: 0.4789, Val Accuracy: 0.8067, Time Taken: 418.80s
Epoch [69/200], Train Loss: 0.4696, Train Accuracy: 0.7807, Val Loss: 0.4837, Val Accuracy: 0.7815, Time Taken: 417.60s
Epoch [70/200], Train Loss: 0.4731, Train Accuracy: 0.7746, Val Loss: 0.4796, Val Accuracy: 0.7731, Time Taken: 420.40s
Epoch [71/200], Train Loss: 0.4635, Train Accuracy: 0.7804, Val Loss: 0.4562, Val Accuracy: 0.7962, Time Taken: 414.16s
Epoch [72/200], Train Loss: 0.4671, Train Accuracy: 0.7864, Val Loss: 0.4602, Val Accuracy: 0.8004, Time Taken: 422.57s
Epoch [73/200], Train Loss: 0.4583, Train Accuracy: 0.7801, Val Loss: 0.4490, Val Accuracy: 0.8046, Time Taken: 420.67s
Epoch [74/200], Train Loss: 0.4662, Train Accuracy: 0.7738, Val Loss: 0.5020, Val Accuracy: 0.7710, Time Taken: 416.26s
Epoch [75/200], Train Loss: 0.4668, Train Accuracy: 0.7815, Val Loss: 0.4712, Val Accuracy: 0.7794, Time Taken: 415.11s
Epoch [76/200], Train Loss: 0.4638, Train Accuracy: 0.7820, Val Loss: 0.4422, Val Accuracy: 0.8046, Time Taken: 416.48s
Epoch [77/200], Train Loss: 0.4734, Train Accuracy: 0.7749, Val Loss: 0.4484, Val Accuracy: 0.8004, Time Taken: 419.63s
Epoch [78/200], Train Loss: 0.4631, Train Accuracy: 0.7849, Val Loss: 0.4508, Val Accuracy: 0.7941, Time Taken: 417.32s
Epoch [79/200], Train Loss: 0.4746, Train Accuracy: 0.7741, Val Loss: 0.4670, Val Accuracy: 0.7899, Time Taken: 421.74s
Epoch [80/200], Train Loss: 0.4726, Train Accuracy: 0.7825, Val Loss: 0.4723, Val Accuracy: 0.7941, Time Taken: 420.61s
Epoch [81/200], Train Loss: 0.4659, Train Accuracy: 0.7796, Val Loss: 0.4679, Val Accuracy: 0.7920, Time Taken: 416.87s
Epoch [82/200], Train Loss: 0.4704, Train Accuracy: 0.7775, Val Loss: 0.4633, Val Accuracy: 0.7983, Time Taken: 419.06s
Epoch [83/200], Train Loss: 0.4704, Train Accuracy: 0.7746, Val Loss: 0.4851, Val Accuracy: 0.7647, Time Taken: 418.61s
Epoch [84/200], Train Loss: 0.4636, Train Accuracy: 0.7820, Val Loss: 0.4657, Val Accuracy: 0.7899, Time Taken: 416.70s
Epoch [85/200], Train Loss: 0.4693, Train Accuracy: 0.7830, Val Loss: 0.4822, Val Accuracy: 0.7710, Time Taken: 424.92s
Epoch [86/200], Train Loss: 0.4703, Train Accuracy: 0.7849, Val Loss: 0.4628, Val Accuracy: 0.8025, Time Taken: 417.17s
Epoch [87/200], Train Loss: 0.4551, Train Accuracy: 0.7893, Val Loss: 0.4752, Val Accuracy: 0.7773, Time Taken: 419.45s
Epoch [88/200], Train Loss: 0.4588, Train Accuracy: 0.7836, Val Loss: 0.4712, Val Accuracy: 0.7878, Time Taken: 430.76s
Epoch [89/200], Train Loss: 0.4728, Train Accuracy: 0.7778, Val Loss: 0.4845, Val Accuracy: 0.7815, Time Taken: 424.18s
Epoch [90/200], Train Loss: 0.4692, Train Accuracy: 0.7799, Val Loss: 0.4855, Val Accuracy: 0.7941, Time Taken: 416.47s
Epoch [91/200], Train Loss: 0.4687, Train Accuracy: 0.7733, Val Loss: 0.4626, Val Accuracy: 0.7920, Time Taken: 419.58s
Epoch [92/200], Train Loss: 0.4790, Train Accuracy: 0.7857, Val Loss: 0.4699, Val Accuracy: 0.7857, Time Taken: 416.66s
Epoch [93/200], Train Loss: 0.4632, Train Accuracy: 0.7820, Val Loss: 0.4632, Val Accuracy: 0.7857, Time Taken: 417.13s
Epoch [94/200], Train Loss: 0.4611, Train Accuracy: 0.7925, Val Loss: 0.4635, Val Accuracy: 0.7836, Time Taken: 417.36s
Epoch [95/200], Train Loss: 0.4613, Train Accuracy: 0.7846, Val Loss: 0.4693, Val Accuracy: 0.7731, Time Taken: 414.50s
Epoch [96/200], Train Loss: 0.4849, Train Accuracy: 0.7736, Val Loss: 0.4478, Val Accuracy: 0.7962, Time Taken: 420.67s
Epoch [97/200], Train Loss: 0.4628, Train Accuracy: 0.7864, Val Loss: 0.4852, Val Accuracy: 0.7815, Time Taken: 417.34s
Epoch [98/200], Train Loss: 0.4673, Train Accuracy: 0.7812, Val Loss: 0.4704, Val Accuracy: 0.8025, Time Taken: 416.52s
Epoch [99/200], Train Loss: 0.4723, Train Accuracy: 0.7799, Val Loss: 0.5081, Val Accuracy: 0.7500, Time Taken: 418.73s
Epoch [100/200], Train Loss: 0.4806, Train Accuracy: 0.7822, Val Loss: 0.4550, Val Accuracy: 0.7941, Time Taken: 424.56s
Epoch [101/200], Train Loss: 0.4573, Train Accuracy: 0.7962, Val Loss: 0.4768, Val Accuracy: 0.7731, Time Taken: 419.37s
Epoch [102/200], Train Loss: 0.4607, Train Accuracy: 0.7870, Val Loss: 0.4835, Val Accuracy: 0.7983, Time Taken: 424.25s
Epoch [103/200], Train Loss: 0.4668, Train Accuracy: 0.7749, Val Loss: 0.4655, Val Accuracy: 0.7857, Time Taken: 421.43s
Epoch [104/200], Train Loss: 0.4530, Train Accuracy: 0.7836, Val Loss: 0.4928, Val Accuracy: 0.7857, Time Taken: 421.45s
Epoch [105/200], Train Loss: 0.4741, Train Accuracy: 0.7775, Val Loss: 0.4900, Val Accuracy: 0.7731, Time Taken: 417.70s
Epoch [106/200], Train Loss: 0.4536, Train Accuracy: 0.7909, Val Loss: 0.4499, Val Accuracy: 0.7878, Time Taken: 421.60s
Epoch [107/200], Train Loss: 0.4653, Train Accuracy: 0.7801, Val Loss: 0.4465, Val Accuracy: 0.8088, Time Taken: 425.99s
Epoch [108/200], Train Loss: 0.4616, Train Accuracy: 0.7765, Val Loss: 0.4710, Val Accuracy: 0.7815, Time Taken: 417.26s
Epoch [109/200], Train Loss: 0.4655, Train Accuracy: 0.7817, Val Loss: 0.4987, Val Accuracy: 0.7752, Time Taken: 421.10s
Epoch [110/200], Train Loss: 0.4814, Train Accuracy: 0.7720, Val Loss: 0.4617, Val Accuracy: 0.7836, Time Taken: 417.36s
Epoch [111/200], Train Loss: 0.4659, Train Accuracy: 0.7822, Val Loss: 0.4817, Val Accuracy: 0.7626, Time Taken: 417.49s
Epoch [112/200], Train Loss: 0.4618, Train Accuracy: 0.7857, Val Loss: 0.4667, Val Accuracy: 0.7878, Time Taken: 416.83s
Epoch [113/200], Train Loss: 0.4639, Train Accuracy: 0.7799, Val Loss: 0.4641, Val Accuracy: 0.7962, Time Taken: 418.34s
Epoch [114/200], Train Loss: 0.4701, Train Accuracy: 0.7746, Val Loss: 0.5089, Val Accuracy: 0.7584, Time Taken: 417.29s
Epoch [115/200], Train Loss: 0.4692, Train Accuracy: 0.7812, Val Loss: 0.4568, Val Accuracy: 0.7836, Time Taken: 416.80s
Epoch [116/200], Train Loss: 0.4613, Train Accuracy: 0.7796, Val Loss: 0.4776, Val Accuracy: 0.7920, Time Taken: 418.11s
Epoch [117/200], Train Loss: 0.4659, Train Accuracy: 0.7796, Val Loss: 0.4724, Val Accuracy: 0.7941, Time Taken: 419.01s
Epoch [118/200], Train Loss: 0.4685, Train Accuracy: 0.7746, Val Loss: 0.4759, Val Accuracy: 0.7899, Time Taken: 419.22s
Epoch [119/200], Train Loss: 0.4596, Train Accuracy: 0.7836, Val Loss: 0.4571, Val Accuracy: 0.7920, Time Taken: 418.47s
Epoch [120/200], Train Loss: 0.4654, Train Accuracy: 0.7773, Val Loss: 0.4610, Val Accuracy: 0.7794, Time Taken: 419.79s
Epoch [121/200], Train Loss: 0.4730, Train Accuracy: 0.7812, Val Loss: 0.4915, Val Accuracy: 0.7668, Time Taken: 423.22s
Epoch [122/200], Train Loss: 0.4651, Train Accuracy: 0.7801, Val Loss: 0.4797, Val Accuracy: 0.7794, Time Taken: 420.45s
