Epoch [1/200], Train Loss: 0.3952, Train Accuracy: 0.8411, Val Loss: 0.3164, Val Accuracy: 0.8697, Time Taken: 274.88s
Epoch [2/200], Train Loss: 0.3061, Train Accuracy: 0.8857, Val Loss: 0.3204, Val Accuracy: 0.8739, Time Taken: 276.69s
Epoch [3/200], Train Loss: 0.3105, Train Accuracy: 0.8831, Val Loss: 0.3120, Val Accuracy: 0.8761, Time Taken: 276.60s
Epoch [4/200], Train Loss: 0.3150, Train Accuracy: 0.8786, Val Loss: 0.3115, Val Accuracy: 0.8697, Time Taken: 282.12s
Epoch [5/200], Train Loss: 0.3161, Train Accuracy: 0.8784, Val Loss: 0.3065, Val Accuracy: 0.8824, Time Taken: 279.48s
Epoch [6/200], Train Loss: 0.3155, Train Accuracy: 0.8792, Val Loss: 0.3041, Val Accuracy: 0.8761, Time Taken: 280.96s
Epoch [7/200], Train Loss: 0.3143, Train Accuracy: 0.8789, Val Loss: 0.3137, Val Accuracy: 0.8992, Time Taken: 276.28s
Epoch [8/200], Train Loss: 0.3082, Train Accuracy: 0.8857, Val Loss: 0.3213, Val Accuracy: 0.8845, Time Taken: 275.07s
Epoch [9/200], Train Loss: 0.3118, Train Accuracy: 0.8823, Val Loss: 0.3123, Val Accuracy: 0.8824, Time Taken: 274.72s
Epoch [10/200], Train Loss: 0.3042, Train Accuracy: 0.8860, Val Loss: 0.3002, Val Accuracy: 0.8866, Time Taken: 274.41s
Epoch [11/200], Train Loss: 0.3096, Train Accuracy: 0.8794, Val Loss: 0.3038, Val Accuracy: 0.8803, Time Taken: 273.32s
Epoch [12/200], Train Loss: 0.3134, Train Accuracy: 0.8765, Val Loss: 0.3030, Val Accuracy: 0.8866, Time Taken: 276.27s
Epoch [13/200], Train Loss: 0.3178, Train Accuracy: 0.8763, Val Loss: 0.2890, Val Accuracy: 0.8908, Time Taken: 273.12s
Epoch [14/200], Train Loss: 0.3138, Train Accuracy: 0.8826, Val Loss: 0.2957, Val Accuracy: 0.8971, Time Taken: 282.72s
Epoch [15/200], Train Loss: 0.3052, Train Accuracy: 0.8813, Val Loss: 0.2846, Val Accuracy: 0.9034, Time Taken: 278.00s
Epoch [16/200], Train Loss: 0.3115, Train Accuracy: 0.8805, Val Loss: 0.3021, Val Accuracy: 0.8908, Time Taken: 280.57s
Epoch [17/200], Train Loss: 0.3069, Train Accuracy: 0.8852, Val Loss: 0.3197, Val Accuracy: 0.8634, Time Taken: 279.58s
Epoch [18/200], Train Loss: 0.3173, Train Accuracy: 0.8792, Val Loss: 0.3053, Val Accuracy: 0.8782, Time Taken: 272.14s
Epoch [19/200], Train Loss: 0.3125, Train Accuracy: 0.8815, Val Loss: 0.2935, Val Accuracy: 0.8971, Time Taken: 285.23s
