Epoch [44/200], Train Loss: 0.0557, Train Accuracy: 0.9785, Val Loss: 0.1334, Val Accuracy: 0.9475, Time Taken: 276.05s
Epoch [45/200], Train Loss: 0.0522, Train Accuracy: 0.9829, Val Loss: 0.1006, Val Accuracy: 0.9559, Time Taken: 277.96s
Epoch [46/200], Train Loss: 0.0553, Train Accuracy: 0.9779, Val Loss: 0.1260, Val Accuracy: 0.9517, Time Taken: 279.61s
Epoch [47/200], Train Loss: 0.0510, Train Accuracy: 0.9816, Val Loss: 0.1103, Val Accuracy: 0.9601, Time Taken: 274.29s
Epoch [48/200], Train Loss: 0.0484, Train Accuracy: 0.9832, Val Loss: 0.0833, Val Accuracy: 0.9685, Time Taken: 280.18s
Epoch [49/200], Train Loss: 0.0478, Train Accuracy: 0.9837, Val Loss: 0.1059, Val Accuracy: 0.9643, Time Taken: 277.75s
Epoch [50/200], Train Loss: 0.0570, Train Accuracy: 0.9803, Val Loss: 0.0909, Val Accuracy: 0.9622, Time Taken: 278.51s
Epoch [51/200], Train Loss: 0.0419, Train Accuracy: 0.9850, Val Loss: 0.1185, Val Accuracy: 0.9580, Time Taken: 276.80s
Epoch [52/200], Train Loss: 0.0505, Train Accuracy: 0.9811, Val Loss: 0.1003, Val Accuracy: 0.9643, Time Taken: 278.99s
Epoch [53/200], Train Loss: 0.0536, Train Accuracy: 0.9798, Val Loss: 0.1239, Val Accuracy: 0.9559, Time Taken: 277.26s
Epoch [54/200], Train Loss: 0.0511, Train Accuracy: 0.9827, Val Loss: 0.1235, Val Accuracy: 0.9664, Time Taken: 280.70s
Epoch [55/200], Train Loss: 0.0572, Train Accuracy: 0.9795, Val Loss: 0.1272, Val Accuracy: 0.9517, Time Taken: 273.13s
Epoch [56/200], Train Loss: 0.0582, Train Accuracy: 0.9792, Val Loss: 0.0895, Val Accuracy: 0.9706, Time Taken: 277.03s
Epoch [57/200], Train Loss: 0.0422, Train Accuracy: 0.9856, Val Loss: 0.1079, Val Accuracy: 0.9601, Time Taken: 281.26s
Epoch [58/200], Train Loss: 0.0506, Train Accuracy: 0.9835, Val Loss: 0.1110, Val Accuracy: 0.9538, Time Taken: 276.93s
Epoch [59/200], Train Loss: 0.0438, Train Accuracy: 0.9842, Val Loss: 0.0904, Val Accuracy: 0.9685, Time Taken: 277.20s
Epoch [60/200], Train Loss: 0.0460, Train Accuracy: 0.9877, Val Loss: 0.1071, Val Accuracy: 0.9685, Time Taken: 271.76s
Epoch [61/200], Train Loss: 0.0545, Train Accuracy: 0.9790, Val Loss: 0.0997, Val Accuracy: 0.9664, Time Taken: 268.24s
Epoch [62/200], Train Loss: 0.0462, Train Accuracy: 0.9848, Val Loss: 0.1082, Val Accuracy: 0.9622, Time Taken: 266.86s
Epoch [63/200], Train Loss: 0.0411, Train Accuracy: 0.9848, Val Loss: 0.1025, Val Accuracy: 0.9643, Time Taken: 269.21s
Epoch [64/200], Train Loss: 0.0357, Train Accuracy: 0.9884, Val Loss: 0.1275, Val Accuracy: 0.9601, Time Taken: 267.94s
Epoch [65/200], Train Loss: 0.0440, Train Accuracy: 0.9848, Val Loss: 0.1144, Val Accuracy: 0.9664, Time Taken: 272.64s
Epoch [66/200], Train Loss: 0.0364, Train Accuracy: 0.9877, Val Loss: 0.0906, Val Accuracy: 0.9706, Time Taken: 270.85s
Epoch [67/200], Train Loss: 0.0369, Train Accuracy: 0.9884, Val Loss: 0.0961, Val Accuracy: 0.9769, Time Taken: 268.16s
Epoch [68/200], Train Loss: 0.0443, Train Accuracy: 0.9837, Val Loss: 0.1066, Val Accuracy: 0.9622, Time Taken: 275.27s
Epoch [69/200], Train Loss: 0.0379, Train Accuracy: 0.9887, Val Loss: 0.1227, Val Accuracy: 0.9601, Time Taken: 279.72s
Epoch [70/200], Train Loss: 0.0400, Train Accuracy: 0.9877, Val Loss: 0.0871, Val Accuracy: 0.9622, Time Taken: 269.79s
Epoch [71/200], Train Loss: 0.0372, Train Accuracy: 0.9884, Val Loss: 0.0958, Val Accuracy: 0.9706, Time Taken: 272.52s
Epoch [72/200], Train Loss: 0.0345, Train Accuracy: 0.9892, Val Loss: 0.0815, Val Accuracy: 0.9811, Time Taken: 274.68s
Epoch [73/200], Train Loss: 0.0430, Train Accuracy: 0.9845, Val Loss: 0.0814, Val Accuracy: 0.9727, Time Taken: 269.99s
Epoch [74/200], Train Loss: 0.0363, Train Accuracy: 0.9884, Val Loss: 0.0939, Val Accuracy: 0.9706, Time Taken: 274.52s
Epoch [75/200], Train Loss: 0.0366, Train Accuracy: 0.9871, Val Loss: 0.0955, Val Accuracy: 0.9643, Time Taken: 281.41s
Epoch [76/200], Train Loss: 0.0381, Train Accuracy: 0.9882, Val Loss: 0.1115, Val Accuracy: 0.9727, Time Taken: 284.31s
Epoch [77/200], Train Loss: 0.0386, Train Accuracy: 0.9879, Val Loss: 0.1087, Val Accuracy: 0.9622, Time Taken: 282.74s
Epoch [78/200], Train Loss: 0.0336, Train Accuracy: 0.9900, Val Loss: 0.0974, Val Accuracy: 0.9601, Time Taken: 307.71s
Epoch [79/200], Train Loss: 0.0279, Train Accuracy: 0.9924, Val Loss: 0.1070, Val Accuracy: 0.9601, Time Taken: 299.73s
Epoch [80/200], Train Loss: 0.0405, Train Accuracy: 0.9858, Val Loss: 0.0791, Val Accuracy: 0.9706, Time Taken: 297.32s
Epoch [81/200], Train Loss: 0.0373, Train Accuracy: 0.9879, Val Loss: 0.0964, Val Accuracy: 0.9622, Time Taken: 289.18s
Epoch [82/200], Train Loss: 0.0364, Train Accuracy: 0.9850, Val Loss: 0.1145, Val Accuracy: 0.9559, Time Taken: 274.10s
Epoch [83/200], Train Loss: 0.0358, Train Accuracy: 0.9882, Val Loss: 0.0933, Val Accuracy: 0.9706, Time Taken: 281.10s
Epoch [84/200], Train Loss: 0.0388, Train Accuracy: 0.9850, Val Loss: 0.1092, Val Accuracy: 0.9580, Time Taken: 273.60s
Epoch [85/200], Train Loss: 0.0349, Train Accuracy: 0.9900, Val Loss: 0.0807, Val Accuracy: 0.9769, Time Taken: 270.78s
